,prices,hometypes,bathrooms,bedrooms,sizes,garage,school_rating,city,ages
123,1248000.0,Condo,1.0,0.0,1078.0,1.0,6.3, San Francisco,17.0
124,2150000.0,House,1.0,0.0,1765.0,1.0,4.3, San Francisco,6.0
125,1695000.0,House,1.0,0.0,1300.0,2.0,6.7, San Francisco,36.0
126,1150000.0,Condo,1.0,0.0,1474.0,0.0,6.0, San Francisco,86.0
127,409567.0,Condo,1.0,0.0,676.0,1.0,7.0, San Francisco,86.0
128,995000.0,House,1.0,0.0,2077.0,2.0,4.7, San Francisco,98.0
129,2200000.0,House,1.0,0.0,1880.0,1.0,6.7, San Francisco,18.0
130,2255000.0,New,2.0,2.0,1232.0,0.0,0.0, San Francisco,133.0
131,649000.0,Condo,1.0,1.0,783.0,0.0,5.3, San Francisco,31.0
132,1700000.0,Condo,2.0,2.0,1728.0,0.0,0.0, San Francisco,120.0
133,1350000.0,Condo,2.0,3.0,1275.0,1.0,3.3, San Francisco,52.0
134,648000.0,Condo,1.0,1.0,860.0,1.0,0.0, San Francisco,121.0
135,1880000.0,House,2.0,3.0,2240.0,2.0,7.7, San Francisco,34.0
136,1200000.0,House,2.0,3.0,1443.0,2.0,0.0, San Francisco,92.0
137,1395000.0,Condo,2.0,3.0,1307.0,1.0,8.0, San Francisco,23.0
138,1895000.0,House,2.0,3.0,1675.0,1.0,0.0, San Francisco,37.0
139,749000.0,Condo,2.0,3.0,610.0,0.0,3.0, San Francisco,35.0
140,1625000.0,Multi-family,2.0,3.0,2148.0,0.0,4.3, San Francisco,11.0
141,725000.0,Condo,2.0,3.0,835.0,0.0,0.0, San Francisco,24.0
142,1595000.0,House,2.0,3.0,1517.0,2.0,8.7, San Francisco,52.0
143,1495000.0,House,2.0,3.0,1707.0,1.0,8.7, San Francisco,59.0
144,899000.0,Townhouse,2.0,3.0,1511.0,2.0,4.0, San Francisco,97.0
145,998000.0,House,2.0,3.0,1288.0,2.0,0.7, San Francisco,60.0
146,1095000.0,Condo,2.0,3.0,1028.0,1.0,3.3, San Francisco,115.0
147,949000.0,Condo,2.0,3.0,1020.0,1.0,0.0, San Francisco,35.0
148,1499000.0,Condo,2.0,3.0,1945.0,1.0,3.3, San Francisco,109.0
149,1080000.0,Condo,2.0,3.0,934.0,1.0,0.0, San Francisco,120.0
150,1200000.0,Condo,2.0,3.0,975.0,1.0,7.0, San Francisco,98.0
151,639000.0,Condo,2.0,3.0,562.0,0.0,2.7, San Francisco,116.0
152,965000.0,Condo,2.0,1.0,845.0,1.0,5.0, San Francisco,112.0
153,1250000.0,New,1.0,1.0,965.0,0.0,4.0, San Francisco,132.0
154,1585000.0,New,2.0,2.0,1024.0,0.0,4.0, San Francisco,132.0
155,2795000.0,House,4.0,4.0,2340.0,2.0,6.0, San Francisco,63.0
156,525000.0,Condo,1.0,1.0,649.0,0.0,2.7, San Francisco,126.0
157,1805000.0,Multi-family,8.0,6.0,2872.0,2.0,7.7, San Francisco,34.0
158,1745000.0,House,8.0,6.0,1740.0,3.0,5.0, San Francisco,37.0
159,899000.0,Condo,8.0,6.0,1009.0,0.0,5.0, San Francisco,17.0
160,2395000.0,Condo,8.0,6.0,2321.0,2.0,3.3, San Francisco,41.0
161,1595000.0,House,8.0,6.0,2067.0,2.0,0.0, San Francisco,33.0
162,1595000.0,Condo,8.0,6.0,1535.0,0.0,0.0, San Francisco,88.0
163,795000.0,Condo,8.0,6.0,905.0,0.0,1.0, San Francisco,11.0
164,1099000.0,Condo,8.0,6.0,791.0,1.0,3.3, San Francisco,26.0
165,1329000.0,Condo,8.0,6.0,1214.0,0.0,4.3, San Francisco,18.0
166,1188000.0,Condo,8.0,6.0,1241.0,0.0,0.0, San Francisco,95.0
167,1195000.0,Condo,8.0,6.0,1269.0,1.0,4.7, San Francisco,101.0
168,1395000.0,Condo,8.0,6.0,1439.0,1.0,8.3, San Francisco,109.0
169,1250000.0,Condo,8.0,6.0,1109.0,1.0,8.0, San Francisco,27.0
170,1195000.0,Condo,8.0,6.0,1092.0,1.0,3.3, San Francisco,11.0
171,965000.0,Condo,8.0,6.0,883.0,1.0,0.0, San Francisco,118.0
172,266631.0,Condo,1.0,0.0,636.0,0.0,3.3, San Francisco,107.0
